 epoch 1, step 100, training acc 0.26
 epoch 1, step 200, training acc 0.22
 epoch 1, step 300, training acc 0.28
 epoch 1, step 400, training acc 0.27
 epoch 1, step 500, training acc 0.31
 epoch 2, step 100, training acc 0.23
 epoch 2, step 200, training acc 0.24
 epoch 2, step 300, training acc 0.29
 epoch 2, step 400, training acc 0.16
 epoch 2, step 500, training acc 0.22
 epoch 3, step 100, training acc 0.19
 epoch 3, step 200, training acc 0.26
 epoch 3, step 300, training acc 0.21
 epoch 3, step 400, training acc 0.3
 epoch 3, step 500, training acc 0.28
 epoch 4, step 100, training acc 0.24
 epoch 4, step 200, training acc 0.31
 epoch 4, step 300, training acc 0.31
 epoch 4, step 400, training acc 0.27
 epoch 4, step 500, training acc 0.28
 epoch 5, step 100, training acc 0.31
 epoch 5, step 200, training acc 0.38
 epoch 5, step 300, training acc 0.28
 epoch 5, step 400, training acc 0.31
 epoch 5, step 500, training acc 0.3
 epoch 6, step 100, training acc 0.3
 epoch 6, step 200, training acc 0.4
 epoch 6, step 300, training acc 0.4
 epoch 6, step 400, training acc 0.45
 epoch 6, step 500, training acc 0.39
 epoch 7, step 100, training acc 0.3
 epoch 7, step 200, training acc 0.38
 epoch 7, step 300, training acc 0.41
 epoch 7, step 400, training acc 0.41
 epoch 7, step 500, training acc 0.41
 epoch 8, step 100, training acc 0.39
 epoch 8, step 200, training acc 0.46
 epoch 8, step 300, training acc 0.44
 epoch 8, step 400, training acc 0.44
 epoch 8, step 500, training acc 0.46
 epoch 9, step 100, training acc 0.45
 epoch 9, step 200, training acc 0.48
 epoch 9, step 300, training acc 0.45
 epoch 9, step 400, training acc 0.56
 epoch 9, step 500, training acc 0.49
 epoch 10, step 100, training acc 0.46
 epoch 10, step 200, training acc 0.45
 epoch 10, step 300, training acc 0.56
 epoch 10, step 400, training acc 0.56
 epoch 10, step 500, training acc 0.54
 epoch 11, step 100, training acc 0.51
 epoch 11, step 200, training acc 0.58
 epoch 11, step 300, training acc 0.51
 epoch 11, step 400, training acc 0.55
 epoch 11, step 500, training acc 0.57
 epoch 12, step 100, training acc 0.59
 epoch 12, step 200, training acc 0.53
 epoch 12, step 300, training acc 0.69
 epoch 12, step 400, training acc 0.65
 epoch 12, step 500, training acc 0.58
 epoch 13, step 100, training acc 0.66
 epoch 13, step 200, training acc 0.55
 epoch 13, step 300, training acc 0.66
 epoch 13, step 400, training acc 0.63
 epoch 13, step 500, training acc 0.66
 epoch 14, step 100, training acc 0.66
 epoch 14, step 200, training acc 0.58
 epoch 14, step 300, training acc 0.6
 epoch 14, step 400, training acc 0.65
 epoch 14, step 500, training acc 0.65
 epoch 15, step 100, training acc 0.71
 epoch 15, step 200, training acc 0.6
 epoch 15, step 300, training acc 0.7
 epoch 15, step 400, training acc 0.68
 epoch 15, step 500, training acc 0.67
 epoch 16, step 100, training acc 0.65
 epoch 16, step 200, training acc 0.63
 epoch 16, step 300, training acc 0.78
 epoch 16, step 400, training acc 0.63
 epoch 16, step 500, training acc 0.62
 epoch 17, step 100, training acc 0.74
 epoch 17, step 200, training acc 0.67
 epoch 17, step 300, training acc 0.8
 epoch 17, step 400, training acc 0.66
 epoch 17, step 500, training acc 0.68
 epoch 18, step 100, training acc 0.76
 epoch 18, step 200, training acc 0.64
 epoch 18, step 300, training acc 0.76
 epoch 18, step 400, training acc 0.72
 epoch 18, step 500, training acc 0.73
 epoch 19, step 100, training acc 0.73
 epoch 19, step 200, training acc 0.73
 epoch 19, step 300, training acc 0.77
 epoch 19, step 400, training acc 0.7
 epoch 19, step 500, training acc 0.65
 epoch 20, step 100, training acc 0.74
 epoch 20, step 200, training acc 0.69
 epoch 20, step 300, training acc 0.75
 epoch 20, step 400, training acc 0.76
 epoch 20, step 500, training acc 0.73
 epoch 21, step 100, training acc 0.73
 epoch 21, step 200, training acc 0.72
 epoch 21, step 300, training acc 0.8
 epoch 21, step 400, training acc 0.78
 epoch 21, step 500, training acc 0.73
 epoch 22, step 100, training acc 0.72
 epoch 22, step 200, training acc 0.73
 epoch 22, step 300, training acc 0.8
 epoch 22, step 400, training acc 0.79
 epoch 22, step 500, training acc 0.71
 epoch 23, step 100, training acc 0.8
 epoch 23, step 200, training acc 0.72
 epoch 23, step 300, training acc 0.83
 epoch 23, step 400, training acc 0.71
 epoch 23, step 500, training acc 0.73
 epoch 24, step 100, training acc 0.74
 epoch 24, step 200, training acc 0.75
 epoch 24, step 300, training acc 0.79
 epoch 24, step 400, training acc 0.77
 epoch 24, step 500, training acc 0.76
 epoch 25, step 100, training acc 0.78
 epoch 25, step 200, training acc 0.82
 epoch 25, step 300, training acc 0.82
 epoch 25, step 400, training acc 0.75
 epoch 25, step 500, training acc 0.76
 epoch 26, step 100, training acc 0.77
 epoch 26, step 200, training acc 0.72
 epoch 26, step 300, training acc 0.85
 epoch 26, step 400, training acc 0.76
 epoch 26, step 500, training acc 0.79
 epoch 27, step 100, training acc 0.82
 epoch 27, step 200, training acc 0.8
 epoch 27, step 300, training acc 0.9
 epoch 27, step 400, training acc 0.79
 epoch 27, step 500, training acc 0.78
 epoch 28, step 100, training acc 0.85
 epoch 28, step 200, training acc 0.8
